City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Zhuanghe,CN,2022-06-15 22:10:48,39.7008,122.9911,62.98,81,15,3.31
129,Yopal,CO,2022-06-15 22:10:49,5.3378,-72.3959,76.05,90,77,1.36
130,Bayji,IQ,2022-06-15 22:10:49,34.9311,43.487,84.74,25,0,10.36
131,San Cristobal,VE,2022-06-15 22:10:50,7.7669,-72.225,78.98,75,60,5.17
132,Arica,CL,2022-06-15 22:10:50,-18.475,-70.3042,65.75,82,0,8.05
133,Burnie,AU,2022-06-15 22:10:51,-41.0667,145.9167,52.32,91,90,11.23
134,Ilulissat,GL,2022-06-15 22:10:51,69.2167,-51.1,37.42,70,9,9.22
135,Progreso,MX,2022-06-15 22:10:52,21.2833,-89.6667,75.31,68,83,21.23
136,Matiri,TZ,2022-06-15 22:10:52,-10.75,34.9,58.42,77,0,2.93
137,Santa Isabel Do Rio Negro,BR,2022-06-15 22:10:53,-0.4139,-65.0192,75.9,95,24,1.03
138,Boyolangu,ID,2022-06-15 22:10:53,-8.1181,111.8935,74.46,92,90,0.6
139,Longyearbyen,SJ,2022-06-15 22:11:54,78.2186,15.6401,39.07,69,100,3.38
140,Paamiut,GL,2022-06-15 22:11:55,61.994,-49.6678,37.29,84,8,18.81
141,Johnstown,US,2022-06-15 22:11:56,40.3267,-78.922,93.52,75,100,4.61
142,Cockburn Town,TC,2022-06-15 22:11:56,21.4612,-71.1419,81.52,83,8,16.87
143,Ingham,US,2022-06-15 22:11:56,42.6,-84.3833,92.82,57,40,11.5
144,Bambous Virieux,MU,2022-06-15 22:11:57,-20.3428,57.7575,74.21,78,75,17.27
145,Oranjemund,NA,2022-06-15 22:11:57,-28.55,16.4333,57.15,50,27,7.63
146,Husavik,IS,2022-06-15 22:11:58,66.0449,-17.3389,49.53,89,93,7.34
147,Georgetown,MY,2022-06-15 22:08:39,5.4112,100.3354,76.95,95,40,19.57
148,Thompson,CA,2022-06-15 22:11:59,55.7435,-97.8558,74.32,25,10,15.19
149,Airai,TL,2022-06-15 22:12:00,-8.9266,125.4092,58.42,90,99,4.29
150,Bethel,US,2022-06-15 22:07:36,41.3712,-73.414,79.02,66,20,9.22
151,Zemio,CF,2022-06-15 22:12:00,5.0314,25.1361,69.57,96,100,1.12
152,Genhe,CN,2022-06-15 22:12:01,50.7833,121.5167,57.02,79,100,2.3
153,Provideniya,RU,2022-06-15 22:12:02,64.3833,-173.3,39.36,100,100,13.42
154,Port Blair,IN,2022-06-15 22:08:11,11.6667,92.75,81.0,81,47,6.58
155,Kaiserslautern,DE,2022-06-15 22:12:03,49.45,7.75,69.13,94,0,0.0
156,Port Alfred,ZA,2022-06-15 22:12:04,-33.5906,26.891,49.17,77,66,5.01
157,Tuktoyaktuk,CA,2022-06-15 22:12:04,69.4541,-133.0374,38.55,71,55,13.8
158,Kovernino,RU,2022-06-15 22:12:04,57.1253,43.8142,53.98,83,91,5.28
159,Eyl,SO,2022-06-15 22:12:05,7.9803,49.8164,78.08,81,51,21.14
160,Saint-Augustin,CA,2022-06-15 22:12:05,51.226,-58.6502,68.61,44,73,11.5
161,Yegros,PY,2022-06-15 22:12:06,-26.45,-56.4,60.71,89,0,5.66
162,Kaitangata,NZ,2022-06-15 22:10:47,-46.2817,169.8464,49.46,76,86,16.4
163,Khatanga,RU,2022-06-15 22:12:07,71.9667,102.5,57.09,43,100,10.4
164,Newport,GB,2022-06-15 22:12:08,51.5877,-2.9984,60.46,75,17,5.53
165,Okhotsk,RU,2022-06-15 22:12:08,59.3833,143.3,46.17,83,100,4.32
166,Yulara,AU,2022-06-15 22:12:09,-25.2406,130.9889,53.37,59,7,7.27
167,Quilmana,PE,2022-06-15 22:12:09,-12.95,-76.3833,63.99,72,10,7.56
168,Grindavik,IS,2022-06-15 22:12:11,63.8424,-22.4338,48.67,76,75,18.41
169,Baykit,RU,2022-06-15 22:12:11,61.67,96.37,61.65,95,100,1.59
170,Alekseyevka,RU,2022-06-15 22:12:12,50.6309,38.6903,55.53,91,88,4.63
171,Methoni,GR,2022-06-15 22:12:12,36.8197,21.7049,74.21,70,75,3.78
172,Victoria,HK,2022-06-15 22:10:33,22.2855,114.1577,82.45,89,100,8.01
173,Sao Filipe,CV,2022-06-15 22:12:13,14.8961,-24.4956,73.11,84,44,7.14
