City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Khipro,PK,25.8285,69.3772,89.13,59,1,25.23,clear sky
111,Hithadhoo,MV,-0.6,73.0833,81.91,74,99,10.4,overcast clouds
112,Batagay,RU,67.6333,134.6333,57.58,38,46,11.92,scattered clouds
113,Homer,US,59.6425,-151.5483,60.69,59,40,11.01,scattered clouds
114,Kirensk,RU,57.7853,108.1119,69.42,65,100,5.53,overcast clouds
115,Hualmay,PE,-11.0964,-77.6139,61.52,82,21,13.27,few clouds
116,Dikson,RU,73.5069,80.5464,31.87,94,100,10.58,overcast clouds
117,Upernavik,GL,72.7868,-56.1549,31.98,78,1,6.62,clear sky
118,Cap Malheureux,MU,-19.9842,57.6142,69.48,77,4,13.29,clear sky
119,Neya,RU,58.2972,43.8681,54.0,85,7,5.61,clear sky
120,Port Macquarie,AU,-31.4333,152.9167,67.89,44,0,5.73,clear sky
121,Ndele,CF,8.4109,20.6473,70.34,92,100,3.38,overcast clouds
122,Touros,BR,-5.1989,-35.4608,72.23,84,24,9.37,few clouds
123,Neiafu,TO,-18.65,-173.9833,83.08,65,40,14.97,scattered clouds
124,Kimbe,PG,-5.5502,150.1429,83.64,78,29,3.87,moderate rain
125,Macae,BR,-22.3708,-41.7869,60.55,100,0,2.3,clear sky
126,Humaita,BR,-7.5061,-63.0208,71.47,98,17,1.59,few clouds
127,Kahului,US,20.8947,-156.47,84.22,61,40,24.16,scattered clouds
128,Yar-Sale,RU,66.8333,70.8333,56.98,44,25,7.18,scattered clouds
129,Bambous Virieux,MU,-20.3428,57.7575,69.22,94,20,5.75,few clouds
130,Rauma,FI,61.1272,21.5113,50.04,81,2,6.4,clear sky
131,Eureka,US,40.8021,-124.1637,58.75,77,100,3.0,overcast clouds
132,Acapulco,MX,16.8634,-99.8901,76.82,83,100,0.0,overcast clouds
133,Nouadhibou,MR,20.931,-17.0347,69.78,78,0,23.02,clear sky
134,Thinadhoo,MV,0.5333,72.9333,83.77,71,97,8.05,overcast clouds
135,Grindavik,IS,63.8424,-22.4338,48.67,87,100,12.66,light rain
136,Qaanaaq,GL,77.484,-69.3632,31.62,79,22,4.45,few clouds
137,Tulu Bolo,ET,8.6667,38.2167,55.99,80,8,3.18,clear sky
138,Pitimbu,BR,-7.4706,-34.8086,73.99,93,30,10.58,scattered clouds
139,Port Keats,AU,-14.25,129.55,88.21,20,7,10.71,clear sky
140,Diego De Almagro,CL,-26.3667,-70.05,43.36,84,0,0.43,clear sky
141,Kortkeros,RU,61.8106,51.5806,57.2,75,100,3.31,overcast clouds
142,Clyde River,CA,70.4692,-68.5914,30.43,100,100,34.52,snow
143,Harper,LR,4.375,-7.7169,76.19,88,100,10.85,moderate rain
144,Hammerfest,NO,70.6634,23.6821,39.65,100,100,9.22,mist
145,Maxixe,MZ,-23.8597,35.3472,58.64,72,0,6.31,clear sky
146,Majene,ID,-3.5403,118.9707,83.32,72,80,4.36,broken clouds
147,Kyshtovka,RU,56.555,76.6271,54.86,95,100,12.53,overcast clouds
148,Fortuna,US,40.5982,-124.1573,57.92,77,40,8.05,scattered clouds
149,Ponta Do Sol,PT,32.6667,-17.1,68.63,80,25,3.2,scattered clouds
150,Khatanga,RU,71.9667,102.5,65.19,57,100,14.47,light rain
151,Hami,CN,42.8,93.45,85.96,24,100,6.85,overcast clouds
152,Huarmey,PE,-10.0681,-78.1522,62.64,82,13,12.95,few clouds
153,Port Lincoln,AU,-34.7333,135.8667,59.11,65,0,8.88,clear sky
154,Ekhabi,RU,53.5102,142.9671,46.22,91,100,7.78,light rain
155,Nyurba,RU,63.2842,118.3319,65.82,41,0,7.54,clear sky
156,Butaritari,KI,3.0707,172.7902,82.71,74,19,13.85,few clouds
157,Pershotravneve,UA,51.3929,28.8684,57.07,76,98,2.93,overcast clouds
